Round,Winning Number,Winning Index,Color
141,12,13,Red
142,11,12,Black
143,26,27,Black
144,2,3,Black
145,16,17,Red
146,3,4,Red
147,20,21,Black
148,31,32,Black
149,33,34,Black
150,1,2,Red
151,14,15,Red
152,5,6,Red
153,23,24,Red
154,11,12,Black
155,7,8,Red
156,22,23,Black
157,11,12,Black
158,13,14,Black
159,15,16,Black
160,00,1,Green
161,27,28,Red
162,20,21,Black
163,7,8,Red
164,5,6,Red
165,1,2,Red
166,2,3,Black
167,15,16,Black
168,0,0,Green
169,32,33,Red
170,16,17,Red
171,25,26,Red
172,32,33,Red
173,23,24,Red
174,1,2,Red
175,35,36,Black
176,6,7,Black
177,1,2,Red
178,6,7,Black
179,5,6,Red
180,28,29,Black
181,1,2,Red
182,7,8,Red
183,5,6,Red
184,5,6,Red
185,21,22,Red
186,33,34,Black
187,24,25,Black
188,36,37,Red
189,7,8,Red
190,5,6,Red
191,31,32,Black
192,3,4,Red
193,14,15,Red
194,1,2,Red
195,2,3,Black
196,25,26,Red
197,7,8,Red
198,7,8,Red
199,23,24,Red
200,5,6,Red
201,16,17,Red
202,12,13,Red
203,4,5,Black
204,34,35,Red
205,14,15,Red
206,22,23,Black
207,16,17,Red
208,32,33,Red
209,21,22,Red
210,28,29,Black
211,28,29,Black
212,16,17,Red
213,18,19,Red
214,15,16,Black
215,4,5,Black
216,10,11,Black
217,36,37,Red
218,25,26,Red
219,31,32,Black
220,5,6,Red
221,19,20,Red
222,00,1,Green
223,28,29,Black
224,00,1,Green
225,12,13,Red
226,33,34,Black
227,34,35,Red
228,28,29,Black
229,22,23,Black
230,19,20,Red
231,15,16,Black
232,31,32,Black
233,34,35,Red
234,28,29,Black
235,13,14,Black
236,0,0,Green
237,4,5,Black
238,21,22,Red
239,9,10,Red
240,5,6,Red
241,17,18,Black
242,12,13,Red
243,7,8,Red
244,29,30,Black
245,22,23,Black
246,19,20,Red
247,00,1,Green
248,29,30,Black
249,36,37,Red
250,8,9,Black
251,00,1,Green
252,22,23,Black
253,32,33,Red
254,29,30,Black
255,4,5,Black
256,18,19,Red
257,23,24,Red
258,3,4,Red
259,24,25,Black
260,3,4,Red
261,33,34,Black
262,7,8,Red
263,31,32,Black
264,18,19,Red
265,1,2,Red
266,5,6,Red
267,8,9,Black
268,33,34,Black
269,9,10,Red
270,31,32,Black
271,6,7,Black
272,4,5,Black
273,1,2,Red
274,26,27,Black
275,2,3,Black
276,23,24,Red
277,12,13,Red
278,21,22,Red
279,19,20,Red
280,36,37,Red
281,4,5,Black
282,2,3,Black
283,35,36,Black
284,22,23,Black
285,16,17,Red
286,20,21,Black
287,00,1,Green
288,3,4,Red
289,16,17,Red
290,20,21,Black
291,4,5,Black
292,14,15,Red
293,27,28,Red
294,29,30,Black
295,22,23,Black
296,21,22,Red
297,9,10,Red
298,00,1,Green
299,29,30,Black
300,29,30,Black
301,00,1,Green
302,29,30,Black
303,4,5,Black
304,21,22,Red
305,32,33,Red
306,21,22,Red
307,29,30,Black
308,34,35,Red
309,6,7,Black
310,16,17,Red
311,3,4,Red
312,15,16,Black
313,31,32,Black
314,14,15,Red
315,29,30,Black
316,18,19,Red
317,12,13,Red
318,13,14,Black
319,10,11,Black
320,27,28,Red
321,22,23,Black
322,35,36,Black
323,17,18,Black
324,36,37,Red
325,28,29,Black
326,14,15,Red
327,28,29,Black
328,28,29,Black
329,33,34,Black
330,8,9,Black
331,5,6,Red
332,26,27,Black
333,15,16,Black
334,24,25,Black
335,35,36,Black
336,24,25,Black
337,21,22,Red
338,8,9,Black
339,34,35,Red
340,35,36,Black
341,7,8,Red
342,0,0,Green
343,19,20,Red
344,6,7,Black
345,21,22,Red
346,32,33,Red
347,3,4,Red
348,18,19,Red
349,23,24,Red
350,2,3,Black
351,17,18,Black
352,35,36,Black
353,11,12,Black
354,26,27,Black
355,17,18,Black
356,6,7,Black
357,22,23,Black
358,23,24,Red
359,24,25,Black
360,1,2,Red
361,16,17,Red
362,2,3,Black
363,4,5,Black
364,21,22,Red
365,29,30,Black
366,5,6,Red
367,0,0,Green
368,18,19,Red
369,5,6,Red
370,30,31,Red
371,12,13,Red
372,35,36,Black
373,2,3,Black
374,3,4,Red
375,3,4,Red
376,0,0,Green
377,12,13,Red
378,28,29,Black
379,19,20,Red
380,1,2,Red
381,2,3,Black
382,10,11,Black
383,2,3,Black
384,30,31,Red
385,35,36,Black
386,0,0,Green
387,23,24,Red
388,35,36,Black
389,4,5,Black
390,6,7,Black
391,32,33,Red
392,9,10,Red
393,21,22,Red
394,29,30,Black
395,9,10,Red
396,24,25,Black
397,6,7,Black
398,14,15,Red
399,29,30,Black
400,8,9,Black
401,29,30,Black
402,22,23,Black
403,18,19,Red
404,21,22,Red
405,15,16,Black
406,4,5,Black
407,10,11,Black
408,13,14,Black
409,00,1,Green
410,33,34,Black
411,17,18,Black
412,6,7,Black
413,6,7,Black
414,00,1,Green
415,6,7,Black
416,13,14,Black
417,15,16,Black
418,10,11,Black
419,13,14,Black
420,0,0,Green
421,33,34,Black
422,15,16,Black
423,26,27,Black
424,1,2,Red
425,29,30,Black
426,27,28,Red
427,12,13,Red
428,32,33,Red
429,26,27,Black
430,4,5,Black
431,0,0,Green
432,23,24,Red
433,21,22,Red
434,00,1,Green
435,36,37,Red
436,1,2,Red
437,13,14,Black
438,6,7,Black
439,21,22,Red
440,20,21,Black
441,11,12,Black
442,20,21,Black
443,3,4,Red
444,36,37,Red
445,26,27,Black
446,33,34,Black
447,25,26,Red
448,29,30,Black
449,3,4,Red
450,7,8,Red
451,11,12,Black
452,8,9,Black
453,29,30,Black
454,4,5,Black
455,0,0,Green
456,10,11,Black
457,6,7,Black
458,23,24,Red
459,32,33,Red
460,7,8,Red
461,28,29,Black
462,14,15,Red
463,26,27,Black
464,12,13,Red
465,27,28,Red
466,18,19,Red
467,33,34,Black
468,0,0,Green
469,3,4,Red
470,11,12,Black
471,3,4,Red
472,17,18,Black
473,8,9,Black
474,33,34,Black
475,10,11,Black
476,8,9,Black
477,2,3,Black
478,11,12,Black
479,27,28,Red
480,15,16,Black
481,15,16,Black
482,13,14,Black
483,9,10,Red
484,5,6,Red
485,31,32,Black
486,4,5,Black
487,34,35,Red
488,29,30,Black
489,28,29,Black
490,20,21,Black
491,0,0,Green
492,21,22,Red
493,34,35,Red
494,30,31,Red
495,2,3,Black
496,7,8,Red
497,6,7,Black
498,29,30,Black
499,3,4,Red
500,2,3,Black
